Time,Ax,Ay,Az,label
3.98,-12964,5696,13656,6
4.0,-13224,5436,13312,7
4.02,-13044,5388,13012,7
4.04,-12932,5408,13140,7
4.06,-12740,5440,13616,7
4.08,-12852,5528,13660,6
4.1,-12984,5592,13672,6
4.12,-13084,5448,13348,7
4.14,-12976,5516,13016,7
4.16,-12948,5580,13132,7
4.18,-13136,5672,13240,7
4.2,-13132,5772,13548,6
4.22,-12992,5652,13384,7
4.24,-12968,5440,13220,7
4.26,-12856,5372,13176,7
4.28,-12976,5568,13508,7
4.3,-13032,5492,13408,7
4.32,-12984,5508,13328,7
4.34,-13028,5600,13252,7
4.36,-12944,5488,13188,7
4.38,-12948,5452,13296,7
4.4,-12928,5388,13432,7
4.42,-12960,5508,13484,7
4.44,-13044,5416,13440,7
4.46,-12920,5460,13300,7
4.48,-12836,5592,13420,7
4.5,-12796,5508,13364,7
4.52,-13120,5468,13504,7
4.54,-13008,5588,13392,7
4.56,-12824,5428,13164,7
4.58,-13048,5372,13312,7
4.6,-12968,5480,13344,7
4.62,-13004,5604,13448,7
4.64,-12960,5428,13452,7
4.66,-12896,5492,13124,7
4.68,-12824,5576,13284,7
4.7,-13056,5576,13380,7
4.72,-13076,5592,13400,7
4.74,-13156,5732,13296,7
4.76,-12852,5492,13344,7
4.78,-12888,5540,13360,7
4.8,-13184,5532,13468,7
4.82,-13088,5700,13428,7
4.84,-12836,5492,13368,7
4.86,-12816,5316,13312,7
4.88,-12868,5404,13196,7
4.9,-13152,5692,13360,7
4.92,-13036,5636,13240,7
4.94,-13128,5700,13212,7
4.96,-12904,5632,13400,7
4.98,-13092,5532,13404,7
5.0,-12996,5540,13288,7
5.02,-12988,5528,13348,7
5.04,-12948,5532,13296,7
5.06,-12952,5544,13368,7
5.08,-13016,5552,13332,7
5.1,-12928,5556,13300,7
5.12,-13024,5560,13412,7
5.14,-13052,5420,13184,7
5.16,-12908,5524,13324,7
5.18,-12980,5464,13396,7
5.2,-12984,5484,13268,7
5.22,-12720,5592,13412,7
5.24,-12968,5548,13196,7
5.26,-12932,5556,13304,7
5.28,-13004,5580,13240,7
5.3,-13100,5532,13256,7
5.32,-13032,5572,13428,7
5.34,-12940,5624,13356,7
5.36,-12904,5508,13376,7
5.38,-12836,5580,13428,7
5.4,-12988,5536,13392,7
5.42,-13132,5540,13216,7
5.44,-13148,5460,13308,7
5.46,-13084,5616,13348,7
5.48,-12980,5560,13440,7
5.5,-12924,5416,13372,7
5.52,-12936,5420,13216,7
5.54,-13028,5540,13248,7
5.56,-13136,5584,13232,7
5.58,-13156,5832,13260,7
5.6,-13180,5732,13248,7
5.62,-12988,5544,13204,7
5.64,-12848,5356,13372,7
5.66,-12912,5496,13316,7
5.68,-13196,5576,13396,7
5.7,-13104,5648,13320,7
5.72,-12928,5508,13208,7
5.74,-12992,5440,13144,7
5.76,-12756,5588,13424,7
5.78,-13024,5440,13508,7
5.8,-12932,5440,13404,7
5.82,-13084,5504,13336,7
5.84,-13040,5496,13220,7
5.86,-12904,5592,13380,7
5.88,-13000,5592,13280,7
5.9,-12948,5556,13412,7
5.92,-12880,5508,13252,7
5.94,-12884,5572,13396,7
5.96,-13036,5536,13328,7
5.98,-12996,5440,13244,7
6.0,-12972,5452,13392,7
6.02,-13112,5556,13464,7
6.04,-12956,5612,13324,7
6.06,-12928,5520,13344,7
6.08,-13008,5684,13332,7
6.1,-13052,5536,13372,7
6.12,-13080,5476,13300,7
6.14,-13100,5484,13188,7
6.16,-12932,5508,13408,7
6.18,-13024,5560,13208,7
6.2,-12984,5520,13420,7
6.22,-13004,5632,13124,7
6.24,-13012,5492,13368,7
6.26,-12992,5432,13340,7
6.28,-13056,5436,13084,7
6.3,-13004,5420,13276,7
6.32,-13052,5680,13420,7
6.34,-13012,5660,13376,7
6.36,-13112,5488,13168,7
6.38,-13132,5564,13096,7
6.4,-13144,5480,13252,7
6.42,-12976,5572,13308,7
6.44,-13044,5476,13256,7
6.46,-12996,5484,13320,7
6.48,-12980,5436,13248,7
6.5,-12976,5528,13480,7
6.52,-13124,5456,13384,7
6.54,-13016,5552,13320,7
6.56,-12932,5424,13220,7
6.58,-12912,5364,13344,7
6.6,-13056,5524,13376,7
6.62,-12992,5476,13284,7
6.64,-12944,5424,13172,7
6.66,-12872,5388,13308,7
6.68,-13040,5476,13296,7
6.7,-13120,5544,13508,7
6.72,-13036,5480,13416,7
6.74,-13024,5408,13348,7
6.76,-12948,5568,13440,7
6.78,-12948,5488,13352,7
6.8,-13096,5504,13256,7
6.82,-12948,5592,13208,7
6.84,-12956,5464,13176,7
6.86,-13184,5608,13272,7
6.88,-12996,5612,13348,7
6.9,-12960,5532,13220,7
6.92,-12988,5468,13336,7
6.94,-12912,5524,13184,7
6.96,-12880,5464,13316,7
6.98,-13016,5316,13228,7
7.0,-13048,5488,13276,7
7.02,-13060,5504,13376,7
7.04,-13064,5604,13224,7
7.06,-13000,5560,13192,7
7.08,-13124,5524,13296,7
7.1,-12944,5440,13448,7
7.12,-13056,5476,13340,7
7.14,-12976,5452,13252,7
7.16,-13068,5428,13348,7
7.18,-12908,5464,13348,7
7.2,-12924,5424,13452,7
7.22,-12888,5448,13272,7
7.24,-13048,5356,13264,7
7.26,-12920,5412,13348,7
7.28,-12968,5404,13264,7
7.3,-12920,5428,13464,7
7.32,-12964,5524,13316,7
7.34,-12944,5452,13244,7
7.36,-13056,5392,13440,7
7.38,-12928,5356,13428,7
7.4,-13004,5420,13400,7
7.42,-13076,5448,13248,7
7.44,-13024,5424,13308,7
7.46,-12988,5520,13280,7
7.48,-13032,5448,13304,7
7.5,-13064,5640,13388,7
7.52,-12928,5460,13344,7
7.54,-13004,5472,13268,7
7.56,-13016,5576,13428,7
7.58,-12876,5384,13288,7
7.6,-13064,5512,13280,7
7.62,-13000,5520,13532,7
7.64,-13056,5628,13512,7
7.66,-13168,5476,13340,7
7.68,-12960,5520,13364,7
7.7,-12924,5352,13400,7
7.72,-13152,5360,13292,7
7.74,-12996,5404,13428,7
7.76,-12944,5460,13492,7
7.78,-12896,5512,13304,7
7.8,-12988,5612,13332,7
7.82,-12960,5484,13340,7
7.84,-12964,5528,13328,7
7.86,-13104,5528,13320,7
7.88,-13088,5508,13308,7
7.9,-12984,5484,13144,7
7.92,-12888,5416,13232,7
7.94,-13096,5524,13292,7
7.96,-13032,5500,13408,7
7.98,-12884,5432,13404,7
8.0,-12912,5524,13316,7
8.02,-12912,5424,13372,7
8.04,-13072,5232,13380,7
8.06,-12972,5328,13244,7
8.08,-13192,5552,13348,7
8.1,-13092,5476,13240,7
8.12,-13040,5424,13196,7
8.14,-12948,5604,13264,7
8.16,-12832,5496,13512,7
8.18,-12852,5440,13472,7
8.2,-12964,5372,13332,7
8.22,-12972,5504,13340,7
8.24,-12924,5368,13224,7
8.26,-13148,5496,13172,7
8.28,-12992,5536,13308,7
8.3,-12948,5504,13384,7
8.32,-13092,5396,13328,7
8.34,-12972,5464,13376,7
8.36,-12952,5544,13352,7
8.38,-12964,5536,13440,7
8.4,-13048,5540,13184,7
8.42,-12904,5556,13364,7
8.44,-13052,5460,13304,7
8.46,-13124,5564,13304,7
8.48,-12912,5368,13360,7
8.5,-12900,5444,13296,7
8.52,-12920,5532,13264,7
8.54,-12892,5480,13360,7
8.56,-13052,5500,13216,7
8.58,-13060,5584,13264,7
8.6,-13184,5460,13132,7
8.62,-12912,5620,13528,7
8.64,-12788,5604,13336,7
8.66,-12956,5512,13320,7
8.68,-12928,5384,13312,7
8.7,-13056,5456,13224,7
8.72,-13096,5316,13252,7
8.74,-13132,5384,13340,7
8.76,-12944,5472,13368,7
8.78,-12916,5476,13416,7
8.8,-12900,5496,13336,7
8.82,-13044,5504,13384,7
8.84,-13068,5428,13316,7
8.86,-13072,5512,13404,7
8.88,-13044,5528,13424,7
8.9,-12912,5440,13376,7
8.92,-13176,5548,13384,7
8.94,-12904,5452,13384,7
8.96,-12988,5556,13320,7
8.98,-12952,5560,13276,7
9.0,-12948,5592,13252,7
9.02,-13048,5472,13276,7
9.04,-12964,5488,13392,7
9.06,-13252,5516,13468,7
9.08,-13048,5628,13428,7
9.1,-12972,5480,13236,7
9.12,-13100,5464,13232,7
9.14,-13016,5512,13348,7
9.16,-12968,5616,13476,7
9.18,-12792,5316,13396,7
9.2,-13048,5552,13308,7
9.22,-13128,5536,13320,7
9.24,-13072,5608,13324,7
9.26,-13132,5568,13288,7
9.28,-13104,5624,13196,7
9.3,-13116,5464,13344,7
9.32,-12984,5368,13420,7
9.34,-13044,5504,13472,7
9.36,-12824,5596,13576,7
9.38,-13004,5368,13116,7
9.4,-12956,5232,12944,7
9.42,-13060,5384,13296,7
9.44,-13088,5596,13388,7
9.46,-12796,5652,13364,7
9.48,-12780,5512,13340,7
9.5,-13056,5476,13224,7
9.52,-13244,5464,13368,7
9.54,-13024,5440,13240,7
9.56,-13044,5552,13320,7
9.58,-12956,5560,13368,7
9.6,-12960,5584,13248,7
9.62,-13024,5548,13372,7
9.64,-13188,5572,13148,7
9.66,-13016,5492,13248,7
9.68,-13088,5572,13232,7
9.7,-13088,5632,13292,7
9.72,-12988,5628,13280,7
9.74,-13164,5460,13468,7
9.76,-13028,5524,13464,7
9.78,-12924,5404,13368,7
9.8,-12928,5476,13236,7
9.82,-13012,5528,13192,7
9.84,-13136,5580,13124,7
9.86,-13372,5680,13292,7
9.88,-13208,5796,13500,6
9.9,-13000,5748,13272,7
9.92,-12936,5520,13160,7
9.94,-13008,5412,13196,7
9.96,-12932,5500,13260,7
9.98,-13096,5576,13356,7
10.0,-12968,5556,13372,7
10.02,-12848,5416,13372,7
10.04,-13128,5452,13220,7
10.06,-13072,5452,13180,7
10.08,-13064,5584,13272,7
10.1,-12924,5488,13292,7
10.12,-12980,5440,13176,7
10.14,-13028,5480,13192,7
10.16,-12956,5492,13524,7
10.18,-13080,5596,13340,7
10.2,-13076,5472,13196,7
10.22,-13068,5464,13100,7
10.24,-13068,5484,13260,7
10.26,-13092,5540,13328,7
10.28,-13068,5604,13440,7
10.3,-13024,5496,13428,7
10.32,-12940,5540,13344,7
10.34,-12960,5544,13128,7
10.36,-13060,5568,13028,7
10.38,-13176,5548,13040,7
10.4,-13104,5516,13272,7
10.42,-13092,5648,13312,7
10.44,-12980,5572,13340,7
10.46,-12844,5372,13384,7
10.48,-13024,5380,13124,7
10.5,-13216,5584,13168,7
10.52,-13148,5608,13264,7
10.54,-12944,5632,13212,7
10.56,-12972,5480,13152,7
10.58,-13008,5564,13212,7
10.6,-13060,5544,13268,7
10.62,-13184,5540,13400,7
10.64,-13124,5352,13132,7
10.66,-12956,5480,13116,7
10.68,-13008,5460,13316,7
10.7,-12936,5388,13384,7
10.72,-12772,5328,13340,7
10.74,-12924,5404,13424,7
10.76,-13076,5392,13368,7
10.78,-12976,5572,13288,7
10.8,-13120,5464,13164,7
10.82,-13152,5568,13112,7
10.84,-12940,5520,13344,7
10.86,-13084,5472,13260,7
10.88,-12908,5404,13372,7
10.9,-13084,5412,13204,7
10.92,-13132,5568,13340,7
10.94,-13104,5488,13316,7
10.96,-13100,5492,13280,7
10.98,-13012,5580,13328,7
11.0,-12964,5476,13224,7
11.02,-13064,5504,13360,7
11.04,-13068,5456,13412,7
11.06,-13092,5468,13276,7
11.08,-13112,5536,13180,7
11.1,-13068,5476,13224,7
11.12,-13080,5456,13220,7
11.14,-13096,5496,13300,7
11.16,-13116,5624,13356,7
11.18,-13196,5564,13400,7
11.2,-13036,5412,13124,7
11.22,-12828,5472,13172,7
11.24,-12996,5472,13244,7
11.26,-13180,5560,13500,6
11.28,-13100,5628,13328,7
11.3,-13020,5700,13176,7
11.32,-13108,5640,13172,7
11.34,-13084,5572,13268,7
11.36,-13156,5580,13448,7
11.38,-13028,5448,13164,7
11.4,-12916,5336,13280,7
11.42,-12964,5468,13196,7
11.44,-13092,5524,13348,7
11.46,-13152,5480,13392,7
11.48,-13052,5460,13388,7
11.5,-12940,5432,13248,7
11.52,-12868,5536,13072,7
11.54,-13044,5536,13416,7
11.56,-12948,5412,13404,7
11.58,-13064,5372,13224,7
11.6,-12968,5460,13284,7
11.62,-12944,5464,13112,7
11.64,-12940,5428,13396,7
11.66,-12992,5444,13440,7
11.68,-12948,5560,13412,7
11.7,-13048,5348,13312,7
11.72,-13020,5404,13148,7
11.74,-13008,5424,13204,7
11.76,-13076,5532,13224,7
11.78,-13064,5444,13412,7
11.8,-13136,5516,13384,7
11.82,-13036,5452,13164,7
11.84,-13152,5416,13228,7
11.86,-12988,5468,13448,7
11.88,-12984,5504,13220,7
11.9,-13220,5548,13252,7
11.92,-13052,5492,13340,7
11.94,-13140,5460,13260,7
11.96,-13072,5292,13288,7
11.98,-13072,5404,13296,7
12.0,-13164,5536,13460,7
12.02,-12968,5456,13204,7
12.04,-13004,5520,13360,7
12.06,-13144,5536,13288,7
12.08,-13056,5628,13212,7
12.1,-13016,5440,13284,7
12.12,-13004,5408,13232,7
12.14,-12932,5444,13288,7
12.16,-12904,5412,13188,7
12.18,-12992,5376,13308,7
12.2,-13172,5524,13392,7
12.22,-13144,5576,13388,7
12.24,-13060,5532,13164,7
12.26,-12976,5316,13204,7
12.28,-12944,5372,13268,7
12.3,-12876,5532,13364,7
12.32,-13072,5560,13532,6
12.34,-13076,5672,13608,6
12.36,-13020,5508,13420,7
12.38,-13152,5456,13408,7
12.4,-12900,5548,13448,7
12.42,-12960,5412,13332,7
12.44,-12800,5260,13276,7
12.46,-13088,5548,13708,6
12.48,-12972,5568,13788,6
12.5,-12896,5488,13596,6
12.52,-12788,5336,13556,7
12.54,-12752,5208,13724,6
12.56,-12536,5276,13752,6
12.58,-12784,5360,14008,6
12.6,-12832,5564,13820,6
12.62,-12760,5596,13956,6
12.64,-12684,5572,14116,6
12.66,-12600,5448,14176,6
12.68,-12692,5420,14184,6
12.7,-12796,5452,14320,6
12.72,-13004,5304,14260,6
12.74,-12912,5436,14616,6
12.76,-12912,5284,14492,6
12.78,-12928,5080,14540,6
12.8,-12712,5172,14440,6
12.82,-12592,5304,14392,6
12.84,-12316,5304,14432,6
12.86,-11772,5388,14680,6
12.88,-11448,5464,14888,6
12.9,-11396,5368,14980,6
12.92,-11452,5480,14948,6
12.94,-11136,5500,14988,6
12.96,-11060,5472,15248,6
12.98,-10824,5616,15700,6
13.0,-10728,5616,15796,6
13.02,-10812,5592,16100,6
13.04,-10760,5820,16232,6
13.06,-11068,5784,16416,6
13.08,-10880,5864,16484,6
13.1,-10652,5880,16816,6
13.12,-10396,5956,17228,6
13.14,-10136,5804,17216,6
13.16,-9736,5816,17204,6
13.18,-9124,5684,17192,6
13.2,-9092,5696,17432,6
13.22,-8432,5636,17252,6
13.24,-8344,5628,17320,6
13.26,-8324,5780,17652,6
13.28,-7800,5516,17976,6
13.3,-7792,5172,18368,6
13.32,-8320,4836,18460,6
13.34,-8572,4892,18192,6
13.36,-7748,4932,17884,6
13.38,-7256,5000,17704,6
13.4,-7240,5292,17868,6
13.42,-7756,5460,17920,6
13.44,-8008,5628,18080,6
13.46,-7620,5268,18144,6
13.48,-7096,4760,17720,6
13.5,-6720,5400,17948,6
13.52,-7996,4968,18604,6
13.54,-8656,5084,17868,6
13.56,-7960,5052,17752,6
13.58,-7584,4752,17148,6
13.6,-7592,4184,17200,6
13.62,-7556,3548,17564,6
13.64,-7116,3220,18068,6
13.66,-8388,2612,17644,6
13.68,-8812,2444,17956,6
13.7,-7084,3324,18688,6
13.72,-6176,3968,19496,6
13.74,-4680,4760,20416,6
13.76,-1624,5900,21396,1
13.78,-508,6136,21780,1
13.8,-316,6544,21688,1
13.82,-788,6212,22240,1
13.84,392,7000,22456,1
13.86,884,6480,23136,1
13.88,-256,7480,24056,6
13.9,-4568,10224,24976,6
13.92,-10060,7424,25984,6
13.94,-3080,11788,25012,6
13.96,1980,12300,22944,1
13.98,468,10636,20372,1
14.0,-1912,8660,19060,1
14.02,-1600,7652,18512,1
14.04,-1212,6772,17600,1
14.06,-1860,4492,16440,7
14.08,-3224,2788,16844,1
14.1,-3500,2344,17488,1
14.12,-2188,1604,18308,1
14.14,-1024,1576,17076,7
14.16,-1256,604,15008,7
14.18,-2304,-784,14536,7
14.2,-1960,-1356,14704,7
14.22,-2924,-956,16096,7
14.24,-2700,-1256,15584,7
14.26,-2036,-2176,14776,7
14.28,-4580,-1576,14104,7
14.3,-8660,-1108,14548,7
14.32,-15268,-2128,17008,6
14.34,-10480,-3080,17212,6
14.36,-5816,456,17240,6
14.38,-5576,1560,14964,7
14.4,-7532,1096,11792,7
14.42,-10168,1660,11720,7
14.44,-9832,5924,13072,7
14.46,-8876,6188,12676,7
14.48,-10656,5784,11980,7
14.5,-15700,6428,11236,7
14.52,-18212,2420,17292,6
14.54,-16948,8256,21684,6
14.56,-13740,10232,25804,6
14.58,-13416,12004,26972,6
14.6,-4688,13964,26008,6
14.62,1260,12428,22732,1
14.64,2392,11632,19860,1
14.66,-440,11836,22772,6
14.68,-3828,11948,23332,6
14.7,-7108,11272,19000,6
14.72,-7656,11176,13004,7
14.74,-8968,12088,10668,7
14.76,-10916,12424,11936,7
14.78,-8052,13364,14664,7
14.8,-7376,13916,14008,7
14.82,-8596,14736,13864,7
14.84,-9052,14840,12716,7
14.86,-6752,15284,12580,7
14.88,-7008,13560,11568,7
14.9,-8880,12568,10680,7
14.92,-9316,13472,10744,7
14.94,-6220,12468,10836,7
14.96,-8200,13248,10540,7
14.98,-7420,13668,11204,7
15.0,-7368,13524,11152,7
15.02,-7872,13836,10716,7
15.04,-8044,13300,10912,7
15.06,-8388,13152,11508,7
15.08,-8212,13232,12756,7
15.1,-7296,13324,13512,7
15.12,-6884,14128,13084,7
15.14,-6736,13452,13176,7
15.16,-6772,13324,13480,7
15.18,-5576,13376,13864,7
15.2,-6500,12764,11844,7
15.22,-6356,12512,13300,7
15.24,-5944,13064,14484,7
15.26,-5416,13468,13876,7
15.28,-5964,14096,13328,7
15.3,-4260,14136,14124,7
15.32,-4220,14428,14452,7
15.34,-5032,13576,12108,7
15.36,-4548,14100,11676,7
15.38,-4828,14108,12152,7
15.4,-4156,13488,12936,7
15.42,-3280,14324,13060,7
15.44,-3896,15324,11668,7
15.46,-3872,15176,11196,7
15.48,-2204,14784,11252,7
15.5,-404,13344,11884,7
15.52,-1424,13012,12648,7
15.54,-3068,14020,13156,7
15.56,-3088,14252,14120,7
15.58,-3356,14584,14072,7
15.6,-1848,14368,13212,7
15.62,-1180,15244,12716,7
15.64,-500,16000,12392,7
15.66,60,14488,11428,7
15.68,-1344,14296,11240,7
15.7,-2228,14428,11784,7
15.72,-2012,15592,12528,7
15.74,-1796,15984,12584,7
15.76,-652,17008,12260,7
15.78,2724,16680,12168,7
15.8,3172,15716,11112,7
15.82,256,15260,10292,7
15.84,-1596,14836,9616,7
15.86,-1632,15884,10476,7
15.88,-1980,17012,11900,7
15.9,-1552,17596,12976,7
15.92,352,18340,13992,7
15.94,2304,17644,11400,7
15.96,1652,15868,10144,7
15.98,60,16504,11096,7
16.0,-3068,17080,12820,7
16.02,-6668,16744,14276,7
16.04,-10004,14628,13120,7
16.06,-10452,13368,10840,7
16.08,-8808,13464,11476,7
16.1,-8020,13048,13024,7
16.12,-11568,11860,14080,6
16.14,-12052,11188,15000,6
16.16,-12764,10244,11212,7
16.18,-8504,9560,9092,7
16.2,-5096,8832,8464,7
16.22,-5892,10208,10824,7
16.24,-5468,12744,12176,7
16.26,-7116,14036,12036,7
16.28,-14828,15760,13452,6
16.3,-13260,14664,12992,6
16.32,-7336,14660,12108,7
16.34,-6320,13216,13292,7
16.36,-7712,13436,13716,7
16.38,-5252,12088,13200,7
16.4,-2560,9696,12724,7
16.42,-1840,7644,12948,7
16.44,-4368,7432,13616,7
16.46,-7144,8264,14120,7
16.48,-7444,8100,13024,7
16.5,-8388,9112,10764,7
16.52,-10272,8692,8072,7
16.54,-7404,8724,7632,7
16.56,-2040,11500,9880,7
16.58,-16,13736,13240,7
16.6,-280,14064,13556,7
16.62,-764,13836,13836,7
16.64,-2316,12712,15560,7
16.66,-4820,15252,17764,6
16.68,-8312,14188,19260,6
16.7,-9304,15256,20344,6
16.72,-6232,13812,20348,6
16.74,-6136,13696,15228,7
16.76,-6716,14540,11512,7
16.78,-6440,14456,9444,7
16.8,-4460,14392,8660,7
16.82,-736,15292,11472,7
16.84,2744,15828,13972,7
16.86,2124,16420,13828,7
16.88,-644,16864,11300,7
16.9,-2216,17160,10056,7
16.92,-4276,17736,9588,7
16.94,-4696,15904,8132,7
16.96,-3444,14840,6952,7
16.98,-3496,15288,8068,7
17.0,-3660,13480,10032,7
17.02,-9412,14972,11312,7
17.04,-8584,13384,11268,7
17.06,-5704,12772,10732,7
17.08,-5908,14128,6808,7
17.1,-4780,16768,4232,7
17.12,-3948,20084,8092,7
17.14,236,19848,6084,7
17.16,-1496,17832,1888,7
17.18,-1960,17900,472,7
17.2,-2540,18372,3128,7
17.22,-728,17052,3928,7
17.24,968,15924,1824,7
17.26,-1344,17504,-548,7
17.28,1660,19308,-3084,7
17.3,-1836,19728,1616,7
17.32,-72,21000,1584,7
17.34,-3416,23400,3604,7
17.36,-152,23592,2164,7
17.38,1428,22780,-4408,7
17.4,2056,24872,-5268,7
17.42,1704,26440,-2952,7
17.44,1148,26232,-1556,7
17.46,-3824,23856,2016,7
17.48,3388,22280,1992,7
