GSR:990,Ax:-3408,Ay:-372,Az:20452,Gx:393,Gy:-410,Gz:50.HR:75,SPO2:59
GSR:1000,Ax:-3476,Ay:-444,Az:20420,Gx:395,Gy:-434,Gz:35.HR:75,SPO2:59
GSR:995,Ax:-3440,Ay:-396,Az:20332,Gx:454,Gy:-454,Gz:33.HR:75,SPO2:59
GSR:1006,Ax:-3436,Ay:-428,Az:20456,Gx:455,Gy:-411,Gz:75.HR:75,SPO2:59
GSR:1004,Ax:-3428,Ay:-368,Az:20568,Gx:445,Gy:-378,Gz:43.HR:75,SPO2:59
GSR:1004,Ax:-3368,Ay:-336,Az:20276,Gx:440,Gy:-359,Gz:55.HR:75,SPO2:59
GSR:996,Ax:-3404,Ay:-352,Az:20412,Gx:426,Gy:-314,Gz:55.HR:75,SPO2:59
GSR:989,Ax:-3348,Ay:-424,Az:20520,Gx:439,Gy:-215,Gz:59.HR:75,SPO2:59
GSR:996,Ax:-3460,Ay:-312,Az:20312,Gx:482,Gy:-194,Gz:78.HR:75,SPO2:59
GSR:1010,Ax:-3504,Ay:-296,Az:20424,Gx:496,Gy:-227,Gz:57.HR:75,SPO2:59
GSR:989,Ax:-3524,Ay:-336,Az:20596,Gx:455,Gy:-346,Gz:74.HR:75,SPO2:59
GSR:999,Ax:-3460,Ay:-276,Az:20396,Gx:438,Gy:-412,Gz:29.HR:75,SPO2:59
GSR:1006,Ax:-3400,Ay:-360,Az:20388,Gx:453,Gy:-425,Gz:34.HR:75,SPO2:59
GSR:1005,Ax:-3444,Ay:-316,Az:20560,Gx:437,Gy:-385,Gz:23.HR:75,SPO2:59
GSR:991,Ax:-3456,Ay:-424,Az:20492,Gx:426,Gy:-347,Gz:37.HR:75,SPO2:59
GSR:996,Ax:-3576,Ay:-472,Az:20412,Gx:408,Gy:-378,Gz:23.HR:75,SPO2:59
GSR:991,Ax:-3528,Ay:-284,Az:20388,Gx:459,Gy:-382,Gz:65.HR:75,SPO2:59
