GRS:1047,Ax:-12916,Ay:5500,Az:13340,Gx:368,Gy:-407,Gz:16.HR:71,SPO2:61
GRS:1027,Ax:-13004,Ay:5504,Az:13304,Gx:339,Gy:-457,Gz:80.HR:71,SPO2:61
GRS:1050,Ax:-13016,Ay:5600,Az:13448,Gx:323,Gy:-529,Gz:40.HR:71,SPO2:61
GRS:1024,Ax:-12976,Ay:5372,Az:13196,Gx:332,Gy:-354,Gz:31.HR:71,SPO2:61
GRS:1041,Ax:-13132,Ay:5404,Az:13180,Gx:392,Gy:-238,Gz:74.HR:71,SPO2:61
GRS:1053,Ax:-13088,Ay:5528,Az:13436,Gx:420,Gy:-501,Gz:112.HR:71,SPO2:61
GRS:1024,Ax:-13004,Ay:5484,Az:13272,Gx:380,Gy:-473,Gz:103.HR:71,SPO2:61
GRS:1044,Ax:-13164,Ay:5548,Az:13228,Gx:389,Gy:-391,Gz:69.HR:71,SPO2:61
GRS:1025,Ax:-13056,Ay:5492,Az:13216,Gx:360,Gy:-434,Gz:-9.HR:71,SPO2:61
GRS:1022,Ax:-12888,Ay:5556,Az:13320,Gx:348,Gy:-388,Gz:1.HR:71,SPO2:61
GRS:1025,Ax:-13052,Ay:5720,Az:13364,Gx:322,Gy:-426,Gz:66.HR:71,SPO2:61
GRS:1024,Ax:-13068,Ay:5616,Az:13436,Gx:319,Gy:-458,Gz:78.HR:71,SPO2:61
GRS:1005,Ax:-13060,Ay:5544,Az:13364,Gx:269,Gy:-476,Gz:56.HR:71,SPO2:61
GRS:1033,Ax:-12880,Ay:5468,Az:13356,Gx:266,Gy:-400,Gz:36.HR:71,SPO2:61
GRS:1020,Ax:-13000,Ay:5496,Az:13236,Gx:327,Gy:-423,Gz:-4.HR:71,SPO2:61
GRS:1030,Ax:-13052,Ay:5528,Az:13260,Gx:376,Gy:-444,Gz:30.HR:71,SPO2:61
GRS:1045,Ax:-12988,Ay:5548,Az:13312,Gx:364,Gy:-417,Gz:-16.HR:71,SPO2:61
GRS:1046,Ax:-13088,Ay:5632,Az:13248,Gx:371,Gy:-283,Gz:-25.HR:71,SPO2:61
GRS:1033,Ax:-13164,Ay:5664,Az:13184,Gx:345,Gy:-401,Gz:-51.HR:71,SPO2:61
GRS:1032,Ax:-12968,Ay:5540,Az:13220,Gx:325,Gy:-486,Gz:-24.HR:71,SPO2:61
GRS:1039,Ax:-13120,Ay:5464,Az:13240,Gx:302,Gy:-597,Gz:3.HR:71,SPO2:61
GRS:1033,Ax:-12960,Ay:5572,Az:13368,Gx:304,Gy:-594,Gz:-22.HR:71,SPO2:61
GRS:1038,Ax:-13052,Ay:5648,Az:13512,Gx:262,Gy:-514,Gz:-42.HR:71,SPO2:61
GRS:1047,Ax:-13132,Ay:5512,Az:13348,Gx:191,Gy:-398,Gz:-145.HR:71,SPO2:61
GRS:1038,Ax:-12992,Ay:5392,Az:13252,Gx:205,Gy:-502,Gz:-86.HR:71,SPO2:61
GRS:1041,Ax:-12988,Ay:5416,Az:13376,Gx:261,Gy:-672,Gz:-39.HR:71,SPO2:61
GRS:1040,Ax:-12952,Ay:5440,Az:13376,Gx:284,Gy:-662,Gz:20.HR:71,SPO2:61
GRS:1041,Ax:-13076,Ay:5528,Az:13448,Gx:267,Gy:-517,Gz:52.HR:71,SPO2:61
GRS:1026,Ax:-12968,Ay:5528,Az:13352,Gx:274,Gy:-536,Gz:26.HR:71,SPO2:61
GRS:1045,Ax:-13160,Ay:5448,Az:13212,Gx:256,Gy:-541,Gz:11.HR:71,SPO2:61
GRS:1030,Ax:-12848,Ay:5396,Az:13336,Gx:309,Gy:-568,Gz:21.HR:71,SPO2:61
GRS:1029,Ax:-12972,Ay:5376,Az:13400,Gx:391,Gy:-520,Gz:62.HR:71,SPO2:61
GRS:1037,Ax:-13068,Ay:5464,Az:13408,Gx:402,Gy:-454,Gz:55.HR:71,SPO2:61
GRS:1042,Ax:-13000,Ay:5456,Az:13440,Gx:377,Gy:-467,Gz:21.HR:71,SPO2:61
GRS:1031,Ax:-13088,Ay:5432,Az:13372,Gx:383,Gy:-471,Gz:12.HR:71,SPO2:61
GRS:1040,Ax:-12876,Ay:5496,Az:13356,Gx:360,Gy:-448,Gz:39.HR:71,SPO2:61
GRS:1026,Ax:-12888,Ay:5488,Az:13308,Gx:365,Gy:-378,Gz:32.HR:71,SPO2:61
GRS:1041,Ax:-13004,Ay:5516,Az:13332,Gx:432,Gy:-391,Gz:89.HR:71,SPO2:61
GRS:1027,Ax:-13152,Ay:5464,Az:13320,Gx:398,Gy:-581,Gz:53.HR:71,SPO2:61
GRS:1032,Ax:-12980,Ay:5448,Az:13436,Gx:384,Gy:-504,Gz:38.HR:71,SPO2:61
GRS:1026,Ax:-13148,Ay:5476,Az:13480,Gx:386,Gy:-356,Gz:22.HR:71,SPO2:61
GRS:1043,Ax:-12944,Ay:5520,Az:13324,Gx:398,Gy:-363,Gz:9.HR:71,SPO2:61
GRS:1039,Ax:-12888,Ay:5440,Az:13268,Gx:402,Gy:-308,Gz:55.HR:71,SPO2:61
GRS:1048,Ax:-13140,Ay:5504,Az:13332,Gx:403,Gy:-566,Gz:78.HR:71,SPO2:61
GRS:1026,Ax:-12960,Ay:5488,Az:13404,Gx:431,Gy:-570,Gz:133.HR:71,SPO2:61
GRS:1047,Ax:-13044,Ay:5612,Az:13444,Gx:346,Gy:-471,Gz:110.HR:71,SPO2:61
GRS:1032,Ax:-13188,Ay:5592,Az:13288,Gx:313,Gy:-330,Gz:14.HR:71,SPO2:61
GRS:1020,Ax:-13108,Ay:5416,Az:13172,Gx:324,Gy:-389,Gz:8.HR:71,SPO2:61
