Time,Ax,Ay,Az
4.54,-13008,5588,13392
4.56,-12824,5428,13164
4.58,-13048,5372,13312
4.6,-12968,5480,13344
4.62,-13004,5604,13448
4.64,-12960,5428,13452
4.66,-12896,5492,13124
4.68,-12824,5576,13284
4.7,-13056,5576,13380
4.72,-13076,5592,13400
4.74,-13156,5732,13296
4.76,-12852,5492,13344
4.78,-12888,5540,13360
4.8,-13184,5532,13468
4.82,-13088,5700,13428
4.84,-12836,5492,13368
4.86,-12816,5316,13312
4.88,-12868,5404,13196
4.9,-13152,5692,13360
4.92,-13036,5636,13240
4.94,-13128,5700,13212
4.96,-12904,5632,13400
4.98,-13092,5532,13404
5.0,-12996,5540,13288
5.02,-12988,5528,13348
5.04,-12948,5532,13296
5.06,-12952,5544,13368
5.08,-13016,5552,13332
5.1,-12928,5556,13300
5.12,-13024,5560,13412
5.14,-13052,5420,13184
5.16,-12908,5524,13324
5.18,-12980,5464,13396
5.2,-12984,5484,13268
5.22,-12720,5592,13412
5.24,-12968,5548,13196
5.26,-12932,5556,13304
5.28,-13004,5580,13240
5.3,-13100,5532,13256
5.32,-13032,5572,13428
5.34,-12940,5624,13356
5.36,-12904,5508,13376
5.38,-12836,5580,13428
5.4,-12988,5536,13392
5.42,-13132,5540,13216
5.44,-13148,5460,13308
5.46,-13084,5616,13348
5.48,-12980,5560,13440
5.5,-12924,5416,13372
5.52,-12936,5420,13216
5.54,-13028,5540,13248
5.56,-13136,5584,13232
5.58,-13156,5832,13260
5.6,-13180,5732,13248
5.62,-12988,5544,13204
5.64,-12848,5356,13372
5.66,-12912,5496,13316
5.68,-13196,5576,13396
5.7,-13104,5648,13320
5.72,-12928,5508,13208
5.74,-12992,5440,13144
5.76,-12756,5588,13424
5.78,-13024,5440,13508
5.8,-12932,5440,13404
5.82,-13084,5504,13336
5.84,-13040,5496,13220
5.86,-12904,5592,13380
5.88,-13000,5592,13280
5.9,-12948,5556,13412
5.92,-12880,5508,13252
5.94,-12884,5572,13396
5.96,-13036,5536,13328
5.98,-12996,5440,13244
6.0,-12972,5452,13392
6.02,-13112,5556,13464
6.04,-12956,5612,13324
6.06,-12928,5520,13344
6.08,-13008,5684,13332
6.1,-13052,5536,13372
6.12,-13080,5476,13300
6.14,-13100,5484,13188
6.16,-12932,5508,13408
6.18,-13024,5560,13208
6.2,-12984,5520,13420
6.22,-13004,5632,13124
6.24,-13012,5492,13368
6.26,-12992,5432,13340
