Time,GRS,Ax,Ay,Az,Gx,Gy,Gz,HR,SPO2
2.24,1040,-13164,5464,13440,374,-574,33,71,61
2.26,1034,-12904,5496,13356,345,-518,-8,71,61
2.28,1046,-12876,5396,13312,391,-471,-13,71,61
2.30,1028,-12880,5396,13432,385,-603,50,71,61
2.32,1027,-12728,5488,13564,389,-520,49,71,61
2.34,1048,-12996,5356,13404,416,-406,106,71,61
2.36,1018,-13064,5412,13480,365,-447,86,71,61
2.38,1026,-13072,5556,13268,361,-384,24,71,61
2.40,1030,-12888,5568,13420,373,-384,-23,71,61
2.42,1030,-12960,5520,13500,384,-433,32,71,61
2.44,1041,-13048,5552,13372,398,-516,78,71,61
2.46,1032,-12884,5508,13508,391,-508,54,71,61
2.48,1040,-12944,5524,13376,411,-339,49,71,61
2.50,1045,-12916,5412,13392,424,-288,46,71,61
2.52,1026,-13064,5512,13364,408,-384,57,71,61
2.54,1040,-13052,5556,13404,453,-557,37,71,61
2.56,1035,-12916,5456,13312,432,-433,43,71,61
2.58,1026,-12988,5568,13180,369,-394,40,71,61
2.60,1034,-12976,5676,13444,338,-393,-23,71,61
2.62,1035,-12964,5528,13368,333,-377,13,71,61
2.64,1027,-13088,5540,13236,307,-516,74,71,61
2.66,1043,-13064,5484,13248,348,-545,57,71,61
2.68,1040,-13004,5512,13404,389,-497,45,71,61
2.70,1042,-13024,5492,13416,403,-365,3,71,61
2.72,1038,-12956,5608,13380,387,-411,-9,71,61
2.74,1028,-13072,5516,13264,400,-441,0,71,61
2.76,1044,-13016,5544,13240,356,-487,4,71,61
2.78,1041,-13012,5560,13304,386,-501,-32,71,61
2.80,1047,-13056,5444,13320,353,-492,-15,71,61
2.82,1026,-13084,5624,13316,319,-527,-70,71,61
2.84,1026,-13036,5476,13272,282,-670,-2,71,61
2.86,1048,-13036,5408,13216,317,-748,-18,71,61
2.88,1055,-13048,5548,13420,261,-768,-1,71,61
2.90,1045,-13052,5452,13364,258,-1056,-20,71,61
2.92,1028,-12988,5416,13176,267,-1267,-41,71,61
2.94,1046,-12660,5368,13380,315,-1386,72,71,61
2.96,1024,-12560,5392,13640,368,-757,87,71,61
2.98,1029,-12860,5528,13572,337,-11,107,71,61
3.00,1024,-13192,5512,13388,339,-1,-21,71,61
3.02,1031,-13148,5472,13104,285,-500,-22,71,61
3.04,1028,-12796,5516,13204,396,-615,-4,71,61
3.06,1045,-12816,5512,13336,464,-396,93,71,61
3.08,1053,-12936,5556,13644,409,-247,71,71,61
3.10,1040,-13112,5612,13776,362,-136,6,71,61
3.12,1038,-12972,5536,13204,290,-391,-3,71,61
3.14,1041,-12964,5400,13248,330,-633,58,71,61
3.16,1046,-12892,5492,13344,435,-691,82,71,61
3.18,1026,-13060,5592,13456,465,-504,52,71,61
3.20,1040,-12984,5524,13676,394,-260,7,71,61
3.22,1041,-12960,5600,13528,324,-295,19,71,61
3.24,1030,-12928,5588,13352,358,-414,5,71,61
3.26,1049,-12824,5456,13284,433,-528,27,71,61
3.28,1040,-12868,5456,13408,429,-298,62,71,61
3.30,1049,-12952,5536,13384,442,-178,84,71,61
3.32,1044,-13116,5556,13480,361,-337,55,71,61
3.34,1026,-13092,5552,13252,379,-549,51,71,61
3.36,1022,-12888,5552,13320,409,-550,119,71,61
3.38,1030,-13092,5572,13552,449,-460,60,71,61
3.40,1044,-12956,5600,13548,380,-195,-66,71,61
3.42,1030,-13144,5524,13384,342,-192,-40,71,61
3.44,1028,-12956,5444,13160,371,-627,12,71,61
3.46,1022,-12792,5384,13400,416,-751,23,71,61
3.48,1028,-12812,5480,13516,436,-430,70,71,61
3.50,1037,-13016,5664,13496,428,-173,-11,71,61
3.52,1042,-13128,5600,13404,342,-185,-18,71,61
3.54,1027,-13148,5476,13132,320,-485,14,71,61
3.56,1038,-12900,5364,13140,363,-592,66,71,61
3.58,1025,-12996,5468,13324,426,-650,70,71,61
3.60,1044,-13040,5580,13564,371,-504,-33,71,61
3.62,1032,-12968,5488,13632,333,-405,-83,71,61
3.64,1032,-12808,5488,13320,318,-438,-60,67,57
3.66,1041,-12832,5512,13540,313,-393,-36,67,57
3.68,1037,-13032,5400,13384,320,-289,33,67,57
3.70,1042,-13124,5392,13508,312,-342,18,67,57
3.72,1034,-13144,5400,13324,336,-613,32,67,57
3.74,1030,-12948,5352,13400,378,-768,27,67,57
3.76,1039,-12876,5480,13344,473,-632,36,67,57
3.78,1037,-12920,5504,13616,438,-353,20,67,57
3.80,1029,-12916,5580,13440,395,-197,0,67,57
3.82,1040,-12872,5440,13260,366,-494,93,67,57
3.84,1041,-12828,5440,13200,386,-677,156,67,57
3.86,1026,-12876,5604,13316,422,-488,128,67,57
3.88,1029,-13048,5492,13376,424,-274,76,67,57
3.90,1029,-12992,5560,13512,425,-260,-19,67,57
3.92,1034,-12880,5480,13448,384,-385,-15,67,57
3.94,1034,-12800,5460,13332,420,-458,69,67,57
3.96,1034,-13032,5644,13392,398,-446,46,67,57
3.98,1037,-12964,5696,13656,338,-317,-28,67,57
4.00,1033,-13224,5436,13312,286,-231,-158,67,57
4.02,1048,-13044,5388,13012,362,-472,-180,67,57
4.04,1049,-12932,5408,13140,451,-849,-64,67,57
4.06,1032,-12740,5440,13616,476,-749,46,67,57
4.08,1025,-12852,5528,13660,429,-380,104,67,57
4.10,1025,-12984,5592,13672,357,-62,97,67,57
4.12,1032,-13084,5448,13348,267,-150,79,67,57
4.14,1028,-12976,5516,13016,360,-413,112,67,57
4.16,1027,-12948,5580,13132,485,-441,128,67,57
4.18,1041,-13136,5672,13240,505,-393,88,67,57
4.20,1044,-13132,5772,13548,457,-376,9,67,57
4.22,1037,-12992,5652,13384,324,-324,-42,67,57
4.24,1023,-12968,5440,13220,299,-584,-24,67,57
4.26,1025,-12856,5372,13176,347,-663,58,67,57
4.28,1046,-12976,5568,13508,416,-580,68,67,57
4.30,1025,-13032,5492,13408,368,-491,1,67,57
4.32,1028,-12984,5508,13328,308,-400,-13,67,57
4.34,1024,-13028,5600,13252,319,-464,7,67,57
4.36,1030,-12944,5488,13188,312,-584,42,67,57
4.38,1030,-12948,5452,13296,369,-631,64,67,57
4.40,1025,-12928,5388,13432,368,-545,52,67,57
4.42,1030,-12960,5508,13484,377,-462,18,67,57
4.44,1031,-13044,5416,13440,395,-437,-14,67,57
4.46,1026,-12920,5460,13300,427,-524,7,67,57
4.48,1040,-12836,5592,13420,448,-568,58,67,57
4.50,1040,-12796,5508,13364,427,-314,81,67,57
4.52,1033,-13120,5468,13504,361,-258,80,67,57
4.54,1037,-13008,5588,13392,317,-332,29,67,57
4.56,1032,-12824,5428,13164,353,-385,20,67,57
4.58,1027,-13048,5372,13312,437,-473,89,67,57
4.60,1042,-12968,5480,13344,435,-537,81,67,57
4.62,1040,-13004,5604,13448,458,-355,14,67,57
4.64,1034,-12960,5428,13452,409,-229,27,67,57
4.66,1028,-12896,5492,13124,415,-341,73,67,57
4.68,1030,-12824,5576,13284,417,-404,90,67,57
4.70,1040,-13056,5576,13380,398,-383,107,67,57
4.72,1047,-13076,5592,13400,389,-343,60,67,57
4.74,1020,-13156,5732,13296,375,-455,2,67,57
4.76,1038,-12852,5492,13344,379,-440,37,67,57
4.78,1042,-12888,5540,13360,405,-399,89,67,57
4.80,1041,-13184,5532,13468,382,-484,78,67,57
4.82,1027,-13088,5700,13428,329,-550,44,67,57
4.84,1043,-12836,5492,13368,293,-501,43,67,57
4.86,1042,-12816,5316,13312,348,-377,39,67,57
4.88,1028,-12868,5404,13196,429,-288,70,67,57
4.90,1039,-13152,5692,13360,470,-412,24,67,57
4.92,1025,-13036,5636,13240,475,-455,-28,67,57
4.94,1049,-13128,5700,13212,429,-385,-55,67,57
4.96,1033,-12904,5632,13400,417,-465,-20,67,57
4.98,1028,-13092,5532,13404,357,-475,25,67,57
5.00,1028,-12996,5540,13288,353,-512,70,67,57
5.02,1042,-12988,5528,13348,329,-513,27,67,57
5.04,1033,-12948,5532,13296,344,-282,-12,67,57
5.06,1028,-12952,5544,13368,392,-284,2,67,57
5.08,1022,-13016,5552,13332,356,-429,4,67,57
5.10,1044,-12928,5556,13300,312,-564,65,67,57
5.12,1028,-13024,5560,13412,296,-587,35,67,57
5.14,1028,-13052,5420,13184,334,-607,8,67,57
5.16,1021,-12908,5524,13324,365,-520,14,67,57
5.18,1028,-12980,5464,13396,423,-375,11,67,57
5.20,1044,-12984,5484,13268,449,-507,31,67,57
5.22,1032,-12720,5592,13412,418,-528,30,67,57
5.24,1040,-12968,5548,13196,364,-353,84,67,57
5.26,1023,-12932,5556,13304,329,-338,50,67,57
5.28,1032,-13004,5580,13240,318,-339,27,67,57
5.30,1039,-13100,5532,13256,376,-445,42,67,57
5.32,1036,-13032,5572,13428,360,-503,2,67,57
5.34,1042,-12940,5624,13356,394,-439,0,67,57
5.36,1036,-12904,5508,13376,396,-391,43,67,57
5.38,1028,-12836,5580,13428,394,-402,87,67,57
5.40,1033,-12988,5536,13392,343,-323,70,67,57
5.42,1032,-13132,5540,13216,317,-341,75,67,57
5.44,1026,-13148,5460,13308,342,-446,26,67,57
5.46,1023,-13084,5616,13348,385,-508,8,67,57
5.48,1048,-12980,5560,13440,340,-458,1,67,57
5.50,1018,-12924,5416,13372,314,-424,-7,67,57
5.52,1040,-12936,5420,13216,341,-353,73,67,57
5.54,1016,-13028,5540,13248,407,-326,112,67,57
5.56,1029,-13136,5584,13232,447,-366,39,67,57
5.58,1021,-13156,5832,13260,408,-371,-34,67,57
5.60,1042,-13180,5732,13248,364,-389,-66,67,57
5.62,1033,-12988,5544,13204,301,-506,-24,67,57
5.64,1041,-12848,5356,13372,350,-557,61,67,57
5.66,1025,-12912,5496,13316,363,-514,85,67,57
5.68,1020,-13196,5576,13396,345,-404,44,67,57
5.70,1037,-13104,5648,13320,285,-330,-63,67,57
5.72,1022,-12928,5508,13208,322,-430,-77,67,57
5.74,1038,-12992,5440,13144,358,-691,28,67,57
5.76,1040,-12756,5588,13424,359,-722,87,67,57
5.78,1040,-13024,5440,13508,316,-457,72,67,57
5.80,1031,-12932,5440,13404,305,-282,72,67,57
5.82,1040,-13084,5504,13336,327,-442,79,67,57
5.84,1025,-13040,5496,13220,370,-621,37,67,57
5.86,1039,-12904,5592,13380,362,-503,21,67,57
5.88,1028,-13000,5592,13280,373,-413,12,67,57
5.90,1029,-12948,5556,13412,349,-387,29,67,57
5.92,1045,-12880,5508,13252,353,-495,75,67,57
5.94,1042,-12884,5572,13396,304,-496,82,67,57
5.96,1026,-13036,5536,13328,319,-483,48,67,57
5.98,1029,-12996,5440,13244,361,-379,6,67,57
6.00,1026,-12972,5452,13392,416,-371,-17,67,57
6.02,1023,-13112,5556,13464,399,-476,-1,67,57
6.04,1043,-12956,5612,13324,370,-439,32,67,57
6.06,1028,-12928,5520,13344,365,-378,51,67,57
6.08,1042,-13008,5684,13332,340,-346,39,67,57
6.10,1045,-13052,5536,13372,346,-265,30,67,57
6.12,1033,-13080,5476,13300,383,-379,25,67,57
6.14,1040,-13100,5484,13188,387,-567,38,67,57
6.16,1029,-12932,5508,13408,399,-514,-44,67,57
6.18,1042,-13024,5560,13208,345,-356,-13,67,57
6.20,1043,-12984,5520,13420,305,-417,-14,67,57
6.22,1038,-13004,5632,13124,275,-507,69,67,57
6.24,1043,-13012,5492,13368,273,-543,20,67,57
6.26,1040,-12992,5432,13340,312,-418,16,67,57
6.28,1047,-13056,5436,13084,390,-290,5,67,57
6.30,1030,-13004,5420,13276,444,-304,8,67,57
6.32,1045,-13052,5680,13420,442,-366,15,67,57
6.34,1047,-13012,5660,13376,383,-412,59,67,57
6.36,1034,-13112,5488,13168,344,-405,-6,67,57
6.38,1024,-13132,5564,13096,340,-487,-3,67,57
6.40,1040,-13144,5480,13252,358,-567,-8,67,57
6.42,1036,-12976,5572,13308,347,-516,-33,67,57
6.44,1022,-13044,5476,13256,316,-473,-73,67,57
6.46,1031,-12996,5484,13320,306,-515,-43,67,57
6.48,1028,-12980,5436,13248,309,-604,-32,67,57
6.50,1031,-12976,5528,13480,311,-594,17,67,57
6.52,1040,-13124,5456,13384,286,-544,16,67,57
6.54,1044,-13016,5552,13320,263,-522,2,67,57
6.56,1038,-12932,5424,13220,339,-466,7,67,57
6.58,1026,-12912,5364,13344,396,-501,51,67,57
6.60,1028,-13056,5524,13376,443,-547,11,67,57
6.62,1044,-12992,5476,13284,350,-363,-41,77,56
6.64,1040,-12944,5424,13172,356,-392,21,77,56
6.66,1025,-12872,5388,13308,366,-443,58,77,56
6.68,1039,-13040,5476,13296,362,-479,43,77,56
6.70,1040,-13120,5544,13508,357,-433,31,77,56
6.72,1028,-13036,5480,13416,363,-413,7,77,56
6.74,1040,-13024,5408,13348,339,-478,34,77,56
6.76,1024,-12948,5568,13440,381,-507,23,77,56
6.78,1034,-12948,5488,13352,378,-385,35,77,56
6.80,1027,-13096,5504,13256,410,-349,16,77,56
6.82,1017,-12948,5592,13208,375,-375,41,77,56
6.84,1006,-12956,5464,13176,330,-454,38,77,56
6.86,1031,-13184,5608,13272,374,-491,72,77,56
6.88,1033,-12996,5612,13348,359,-498,-4,77,56
6.90,1040,-12960,5532,13220,299,-417,-10,77,56
6.92,1024,-12988,5468,13336,329,-407,1,77,56
6.94,1041,-12912,5524,13184,312,-461,10,77,56
6.96,1031,-12880,5464,13316,373,-444,34,77,56
6.98,1029,-13016,5316,13228,393,-359,26,77,56
7.00,1041,-13048,5488,13276,445,-358,44,77,56
7.02,1042,-13060,5504,13376,390,-350,29,77,56
7.04,1040,-13064,5604,13224,371,-469,32,77,56
7.06,1040,-13000,5560,13192,364,-520,20,77,56
7.08,1025,-13124,5524,13296,315,-516,-12,77,56
7.10,1040,-12944,5440,13448,333,-433,-53,77,56
7.12,1038,-13056,5476,13340,300,-440,-25,77,56
7.14,1036,-12976,5452,13252,290,-616,8,77,56
7.16,1036,-13068,5428,13348,293,-710,42,77,56
7.18,1043,-12908,5464,13348,313,-581,-5,77,56
7.20,1027,-12924,5424,13452,292,-459,-22,77,56
7.22,1012,-12888,5448,13272,307,-494,-2,77,56
7.24,1035,-13048,5356,13264,341,-601,-17,77,56
7.26,1024,-12920,5412,13348,430,-637,25,77,56
7.28,1017,-12968,5404,13264,438,-502,20,77,56
7.30,1033,-12920,5428,13464,413,-407,12,77,56
7.32,1037,-12964,5524,13316,365,-365,10,77,56
7.34,1026,-12944,5452,13244,387,-376,29,77,56
7.36,1032,-13056,5392,13440,382,-421,65,77,56
7.38,1032,-12928,5356,13428,389,-425,35,77,56
7.40,1034,-13004,5420,13400,418,-333,11,77,56
7.42,1030,-13076,5448,13248,413,-436,23,77,56
7.44,1032,-13024,5424,13308,429,-471,52,77,56
7.46,1047,-12988,5520,13280,399,-420,21,77,56
7.48,1047,-13032,5448,13304,385,-375,47,77,56
7.50,1038,-13064,5640,13388,386,-433,38,77,56
7.52,1040,-12928,5460,13344,370,-482,23,77,56
7.54,1042,-13004,5472,13268,375,-459,52,77,56
7.56,1024,-13016,5576,13428,384,-516,23,77,56
